Abbreviated Communication,Compendium,Abridged,Curtail,Cursory,Terse,Synopsis,Syllabus,,,,
Act Quickly,Abrupt,Apace,Precipitate,Impetuous,Hasty,Brisk,,,,,
Assist,Proponent,Abet,Munificent,Mainstay,Advocate,Bolster,Espouse,Countenance,Corroborate,Ancillary,
Bad Mood,Pettish,Dudgeon,Pique,Bilious,Waspish,Umbrage,Irascible,Petulant,,,
Beginner or Ameateur,Apprenticeship,Fledgling,Neophyte,Tyro,Dillettante,Proselyte,,,,,
Beginning or Young,Burgeoning,Engender,Inchoate,Incipient,Nascent,Callow,,,,,
Biting (wit or temperament),Moradacious,Caustic,Acidulous,Asperty,Acrimonious,Acerbic,Mordant,,,,
Bold,Courageous,Audacious,Dantless,Intrepid,Undaunted,Plucky,Valiant,,,,
Boring,Banal,Fatuous,Hackneyed,Insipid,Pedestrian,Platitude,Prosaic,Quotidian,Trite,Bromidic,
Changing Quickly,Madness,Temperamental,Mercurial,Volatile,Effervescent,Capricious,Impulsive,Fickle,,,
Copy,Couterpart,Emulate,Quintessence,Precursor,Facsimile,Factitious,Vicarious,Simulated,Paradigm,,
Criticize,Excoriate,Vituperate,Revile,Lambaste,Censure,Condemn,Denounce,Castigate,Reprimand,Rebuke,Reproof
Criticize (False Charge),Defamation,Calumny,Aspersion,Impugn,Slander,Vilify,Libel,,,,
