Abbreviated Communication,Act Quickly,Assist,Bad Mood,Beginner or Ameateur,Beginning or Young,"Biting, as in Wit or Temperament",Bold,Boring,Changing Quickly,Copy,Criticize,Criticize (False Charge)
Compendium,Abrupt,Proponent,Pettish,Apprenticeship,Burgeoning,Moradacious,Courageous,Banal,Madness,Couterpart,Excoriate,Defamation
Abridged,Apace,Abet,Dudgeon,Fledgling,Engender,Caustic,Audacious,Fatuous,Temperamental,Emulate,Vituperate,Calumny
Curtail,Precipitate,Munificent,Pique,Neophyte,Inchoate,Acidulous,Dantless,Hackneyed,Mercurial,Quintessence,Revile,Aspersion
Cursory,Impetuous,Mainstay,Bilious,Tyro,Incipient,Asperty,Intrepid,Insipid,Volatile,Precursor,Lambaste,Impugn
Terse,Hasty,Advocate,Waspish,Dillettante,Nascent,Acrimonious,Undaunted,Pedestrian,Effervescent,Facsimile,Censure,Slander
Synopsis,Brisk,Bolster,Umbrage,Proselyte,Callow,Acerbic,Plucky,Platitude,Capricious,Factitious,Condemn,Vilify
Syllabus,,Espouse,Irascible,,,Mordant,Valiant,Prosaic,Impulsive,Vicarious,Denounce,Libel
,,Countenance,Petulant,,,,,Quotidian,Fickle,Simulated,Castigate,
,,Corroborate,,,,,,Trite,,Paradigm,Reprimand,
,,Ancillary,,,,,,Bromidic,,,Rebuke,
,,,,,,,,,,,Reproof,
